cat,file,gate,old_colors,new_colors,old_frag,new_frag,old_frag2,new_frag2,old_dark,new_dark,ol_old,ol_new,colout_old,colout_new,de_old,de_new,de_new_adj,de_delta,lum_dev_old,lum_dev_new,verdict,v12_colors,v12_frag,v12_frag2,v12_dark,ol_v12,colout_v12,de_v12,nfeat12,verdict12
lineart,lineart_049.jpg,0,8,11,245,65,0,0,0,66,74,0,0,0,2.437,4.353,4.353,1.916,0.71,1.79,better,9,57,0,66,0,0,4.42,65,better
lineart,lineart_x_101.jpg,0,7,14,134,320,0,6,0,230,3,0,3,2591,6.985,18.424,18.424,11.439,-1.28,9.26,equal,14,342,6,230,0,2591,18.569,243,equal
lineart,lineart_x_102.jpg,0,6,14,235,330,0,12,0,277,3,0,2,2388,8.012,17.16,17.16,9.148,0.71,6.89,equal,13,356,12,277,0,2389,17.29,273,equal
lineart,lineart_x_103.jpg,0,12,19,428,770,0,8,211,496,2,0,1,19,7.176,12.081,12.081,4.905,0.81,1.66,equal,17,667,8,496,0,17,12.196,366,equal
lineart,lineart_x_104.jpg,0,15,18,345,365,4,12,207,472,54,0,1,279,6.694,10.858,10.858,4.164,1.56,-0.32,better,18,294,12,472,0,254,10.921,226,better
lineart,lineart_x_105.jpg,0,15,17,317,459,0,4,48,154,106,0,1,0,6.512,13.584,13.584,7.072,-2.29,1.12,better,15,463,4,154,0,0,13.591,6,better
lineart,lineart_x_106.jpg,0,8,15,448,681,2,2,151,151,19,0,16,0,7.78,11.99,11.99,4.21,-0.52,3.35,better,14,536,2,151,0,0,11.97,185,better
lineart,lineart_x_107.jpg,0,10,15,428,629,4,69,187,996,27,0,1,1719,7.511,19.826,19.826,12.316,2.24,-1.82,better,12,576,69,996,0,1728,20.547,654,better
lineart,lineart_x_108.jpg,0,13,15,730,512,23,30,883,1027,15,0,0,206,6.692,11.174,11.174,4.482,1.55,1.68,better,15,458,30,1027,0,204,11.241,203,better
lineart,lineart_x_109.jpg,0,10,15,323,560,1,48,82,690,10,0,24,1727,7.691,17.437,17.437,9.747,0.84,1.37,better,13,591,48,690,0,1738,17.792,450,better
lineart,lineart_x_110.jpg,0,12,18,533,744,0,36,652,987,10,0,3,2,7.942,13.58,13.58,5.639,1.37,-0.2,better,18,596,36,987,0,2,13.631,404,better
