cat,file,gate,old_colors,new_colors,old_comp,new_comp,old_frag,new_frag,old_dark,new_dark,agree_pct
pixelart,pixelart_019.jpg,1,61,75,993,744,893,646,2259,1707,21.7
pixelart,pixelart_020.jpg,0,52,59,972,653,912,576,1078,978,50.4
pixelart,pixelart_040.jpg,0,29,29,249,193,203,153,1399,249,40.9
pixelart,pixelart_042.jpg,1,37,41,468,458,457,423,2797,2809,17.3
pixelart,pixelart_x_101.jpg,0,36,43,633,719,553,599,890,1121,49.1
pixelart,pixelart_x_102.jpg,0,26,37,638,534,568,461,950,1085,57.3
pixelart,pixelart_x_103.jpg,1,41,49,913,585,830,522,1572,1663,35.0
pixelart,pixelart_x_104.jpg,1,36,47,834,661,758,615,2456,2091,36.7
pixelart,pixelart_x_105.jpg,1,34,54,669,690,568,622,2380,2157,40.7
pixelart,pixelart_x_106.jpg,1,33,32,672,434,596,375,1636,1355,18.5
pixelart,pixelart_x_107.jpg,1,60,67,1242,956,1219,888,2333,2098,32.1
pixelart,pixelart_x_108.jpg,1,34,49,1268,1759,1225,1752,1701,1624,21.2
pixelart,pixelart_x_109.jpg,1,59,46,1200,615,1130,570,2741,2445,29.1
pixelart,pixelart_x_110.jpg,1,58,52,1193,679,1125,633,2745,2423,29.5
pixelart,pixelart_x_111.jpg,0,23,29,578,446,525,395,999,1215,54.1
pixelart,pixelart_x_112.jpg,0,26,31,423,453,361,365,1218,1467,46.9
pixelart,pixelart_x_113.jpg,0,26,35,629,420,619,370,1147,1329,36.7
pixelart,pixelart_x_114.jpg,1,32,39,581,658,521,572,1517,1650,45.9
pixelart,pixelart_x_115.jpg,0,68,57,1284,810,1308,832,564,1027,49.6
pixelart,pixelart_x_116.jpg,1,33,36,587,569,540,487,1837,1041,29.1
pixelart,pixelart_x_117.jpg,0,25,14,119,48,51,19,1075,1236,83.6
pixelart,pixelart_x_121.jpg,1,40,41,613,605,560,521,1628,1555,31.1
pixelart,pixelart_x_122.jpg,1,34,45,424,271,443,267,3054,2975,82.4
pixelart,pixelart_x_123.jpg,0,11,4,57,19,6,1,32,47,87.1
pixelart,pixelart_x_125.jpg,0,9,2,157,18,168,0,1321,1458,37.4
pixelart,pixelart_x_128.jpg,1,19,21,75,91,68,57,3040,2087,25.9
pixelart,pixelart_x_131.jpg,1,30,34,204,218,193,200,328,263,84.5
pixelart,pixelart_x_132.jpg,1,44,48,552,505,507,429,1653,1646,43.0
pixelart,pixelart_x_133.jpg,1,23,44,201,350,162,277,2602,1855,28.3
pixelart,pixelart_x_134.jpg,1,29,35,631,534,598,479,1055,1022,62.3
pixelart,pixelart_x_135.jpg,1,32,52,998,1238,907,1140,2252,1603,10.2
pixelart,pixelart_x_136.jpg,1,24,29,358,483,319,399,2130,1162,13.8
pixelart,pixelart_x_137.jpg,1,45,53,1001,1116,964,1026,1389,1218,31.3
pixelart,pixelart_x_138.jpg,1,24,26,125,128,107,104,3285,3255,86.6
pixelart,pixelart_x_139.jpg,1,38,55,557,461,510,420,2103,1019,16.9
pixelart,pixelart_x_140.jpg,1,40,54,533,606,468,527,2233,1980,24.8
pixelart,pixelart_x_141.jpg,0,35,41,568,539,512,429,1382,1246,51.0
pixelart,pixelart_x_142.jpg,0,6,7,131,87,129,83,0,18,75.2
pixelart,pixelart_x_143.jpg,1,37,46,505,357,435,277,1291,926,24.0
pixelart,pixelart_x_144.jpg,1,47,70,607,633,551,522,2424,1934,24.6
pixelart,pixelart_x_145.jpg,1,59,66,502,329,496,287,2447,2202,60.0
pixelart,pixelart_x_146.jpg,1,44,54,782,748,684,605,2065,1808,21.7
landscape,landscape_001.jpg,0,24,27,773,1370,759,1311,236,618,37.1
landscape,landscape_002.jpg,0,24,30,393,555,351,521,678,668,51.1
landscape,landscape_003.jpg,0,17,27,184,297,153,259,255,42,45.6
landscape,landscape_004.jpg,0,26,29,329,402,264,353,104,102,58.2
landscape,landscape_005.jpg,0,17,27,297,474,230,381,42,63,56.6
landscape,landscape_006.jpg,0,22,33,258,419,214,340,91,86,49.9
landscape,landscape_009.jpg,0,22,28,514,502,460,421,1021,1229,54.6
landscape,landscape_010.jpg,1,16,46,497,624,445,539,2966,2274,15.9
landscape,landscape_011.jpg,0,26,34,496,494,457,457,949,1123,44.1
landscape,landscape_012.jpg,1,38,48,929,1002,880,969,1510,1271,37.4
landscape,landscape_013.jpg,1,40,43,655,803,592,713,1859,1492,33.7
landscape,landscape_014.jpg,1,33,41,402,364,367,326,1419,736,29.7
landscape,landscape_015.jpg,0,22,21,200,204,182,196,473,449,71.2
landscape,landscape_016.jpg,1,25,33,712,929,628,889,2338,1739,25.1
landscape,landscape_018.jpg,1,26,29,543,548,496,501,1569,1694,47.3
landscape,landscape_019.jpg,0,21,26,161,249,97,207,1346,1022,51.9
landscape,landscape_020.jpg,1,26,31,437,342,379,308,1341,514,31.0
landscape,landscape_021.jpg,1,30,44,637,639,604,640,1482,1558,20.0
landscape,landscape_023.jpg,0,18,17,603,465,550,414,915,688,59.9
landscape,landscape_024.jpg,0,12,11,123,141,96,108,1499,1534,59.4
landscape,landscape_025.jpg,1,16,20,476,333,431,281,2162,2318,32.7
landscape,landscape_026.jpg,1,20,20,282,284,234,241,2046,2042,32.6
landscape,landscape_027.jpg,1,27,50,706,1027,638,967,1897,1536,11.1
landscape,landscape_028.jpg,0,10,8,143,88,106,68,1478,1501,62.5
landscape,landscape_029.jpg,0,12,19,508,666,453,607,448,693,55.6
landscape,landscape_030.jpg,1,12,24,348,451,272,377,3301,2655,32.6
landscape,landscape_036.jpg,0,10,8,141,73,125,56,1781,1817,65.2
landscape,landscape_037.jpg,1,27,28,928,837,854,765,2538,1988,44.2
landscape,landscape_038.jpg,0,30,32,627,382,548,299,929,1066,52.2
landscape,landscape_039.jpg,0,22,32,660,1063,550,973,276,670,41.8
landscape,landscape_040.jpg,0,37,45,645,528,561,459,677,613,42.6
landscape,landscape_041.jpg,0,26,24,140,113,105,87,224,267,81.2
landscape,landscape_042.jpg,1,23,35,1132,1567,1060,1613,2522,1857,17.1
landscape,landscape_043.jpg,1,12,17,193,231,139,175,1406,1415,31.2
landscape,landscape_044.jpg,1,13,17,216,308,165,267,2081,2130,17.8
landscape,landscape_045.jpg,0,13,15,200,180,145,138,821,811,52.3
landscape,landscape_046.jpg,0,30,37,427,353,367,307,570,778,44.8
landscape,landscape_047.jpg,1,24,42,722,1164,626,1124,788,1226,35.1
landscape,landscape_048.jpg,0,20,30,299,485,271,411,605,625,44.7
landscape,landscape_050.jpg,1,36,44,429,360,387,284,1644,1648,36.0
landscape,landscape_x_101.jpg,0,25,33,567,844,490,738,214,324,42.8
landscape,landscape_x_102.jpg,1,34,38,575,618,458,525,1428,1349,31.7
landscape,landscape_x_103.jpg,1,18,28,418,511,314,447,1871,1412,26.2
landscape,landscape_x_104.jpg,0,22,26,671,620,671,548,461,1092,33.6
landscape,landscape_x_105.jpg,1,32,40,764,815,692,747,2088,865,21.5
landscape,landscape_x_106.jpg,1,31,46,766,848,674,771,1518,1265,22.7
landscape,landscape_x_107.jpg,1,17,26,645,582,584,523,1313,1414,27.3
landscape,landscape_x_108.jpg,1,36,44,641,787,565,687,2450,1779,17.1
landscape,landscape_x_109.jpg,0,23,28,643,729,563,657,1043,1134,49.6
landscape,landscape_x_110.jpg,1,25,40,514,672,443,571,1608,1421,20.6
portrait,portrait_001.jpg,1,33,45,811,968,703,881,1809,1529,32.3
portrait,portrait_002.jpg,1,19,30,320,423,285,384,3145,2883,48.6
portrait,portrait_003.jpg,1,17,33,457,628,359,537,3147,2953,28.3
portrait,portrait_004.jpg,1,25,43,728,748,687,693,2785,2750,41.5
portrait,portrait_005.jpg,1,23,46,881,1073,777,968,3114,2553,31.0
portrait,portrait_006.jpg,1,25,36,534,702,451,597,1746,1415,35.3
portrait,portrait_007.jpg,1,26,33,274,409,226,378,2991,2716,12.6
portrait,portrait_008.jpg,0,26,31,350,531,271,445,689,746,47.9
portrait,portrait_009.jpg,1,29,36,259,470,209,393,1923,1204,14.9
portrait,portrait_010.jpg,1,28,31,469,801,405,725,2856,1944,10.6
portrait,portrait_011.jpg,1,19,15,187,105,172,85,1619,1625,40.9
portrait,portrait_012.jpg,1,40,53,886,1009,820,936,2339,2015,27.2
portrait,portrait_013.jpg,1,34,36,915,766,849,643,2864,2495,11.5
portrait,portrait_014.jpg,1,21,36,379,389,373,319,2907,2001,16.3
portrait,portrait_015.jpg,1,31,43,645,776,578,677,1937,1766,16.0
portrait,portrait_017.jpg,1,18,25,284,248,256,237,1061,1025,45.2
portrait,portrait_022.jpg,1,28,36,376,469,348,393,3243,3134,33.3
portrait,portrait_025.jpg,0,18,27,563,442,518,378,952,1078,53.3
portrait,portrait_030.jpg,1,12,22,203,260,171,230,3151,3057,64.7
portrait,portrait_031.jpg,0,10,8,496,359,394,289,2274,2396,68.8
portrait,portrait_032.jpg,0,25,45,315,498,286,476,224,337,20.0
portrait,portrait_033.jpg,1,34,42,692,826,570,721,2265,1607,10.1
portrait,portrait_034.jpg,1,29,39,561,716,468,589,1508,1340,30.0
portrait,portrait_036.jpg,0,32,28,680,612,582,530,1355,1424,52.1
portrait,portrait_037.jpg,0,9,15,272,336,246,309,647,648,30.1
portrait,portrait_039.jpg,0,32,54,685,736,603,645,1364,1275,51.2
portrait,portrait_040.jpg,1,35,53,643,694,538,583,1484,1372,33.1
portrait,portrait_041.jpg,0,23,39,413,643,322,569,943,1312,32.2
portrait,portrait_042.jpg,1,22,42,415,647,321,552,943,1378,27.2
portrait,portrait_043.jpg,1,29,43,453,666,371,556,941,1257,31.5
portrait,portrait_044.jpg,0,10,8,376,198,323,156,744,815,64.8
portrait,portrait_046.jpg,1,9,12,384,417,367,354,1424,1503,48.3
portrait,portrait_048.jpg,0,19,24,183,300,178,276,1034,1060,61.5
portrait,portrait_049.jpg,0,37,42,441,442,368,350,980,932,49.0
portrait,portrait_050.jpg,0,26,33,334,317,283,252,1285,1297,48.2
portrait,portrait_x_101.jpg,1,22,25,499,384,450,361,1960,1771,62.7
portrait,portrait_x_102.jpg,1,15,22,313,452,236,382,2569,1509,3.7
portrait,portrait_x_103.jpg,0,11,13,456,484,379,451,447,443,52.7
portrait,portrait_x_105.jpg,0,20,35,250,294,201,235,449,472,57.8
portrait,portrait_x_106.jpg,0,6,11,182,269,159,236,2969,2807,61.7
portrait,portrait_x_108.jpg,0,29,33,319,374,267,311,1366,1100,45.0
portrait,portrait_x_109.jpg,0,30,33,462,461,401,360,623,611,48.6
portrait,portrait_x_111.jpg,1,23,26,518,528,431,413,1841,1677,26.1
portrait,portrait_x_112.jpg,1,29,29,305,314,273,271,1706,1693,33.4
portrait,portrait_x_113.jpg,1,24,38,480,681,402,598,1712,1345,28.4
portrait,portrait_x_114.jpg,1,30,41,458,451,390,352,762,653,44.5
portrait,portrait_x_115.jpg,1,28,39,273,289,247,262,2245,2251,3.8
portrait,portrait_x_116.jpg,1,34,37,392,415,324,369,1458,1271,26.2
portrait,portrait_x_117.jpg,1,21,44,665,764,583,662,1922,1756,21.1
portrait,portrait_x_118.jpg,1,29,43,791,920,669,787,1604,1317,35.3
food,food_001.jpg,1,23,44,592,742,552,709,2293,2220,34.0
food,food_002.jpg,1,28,34,601,501,561,481,2391,2234,20.7
food,food_003.jpg,1,53,73,1539,1396,1508,1352,2041,1877,17.6
food,food_004.jpg,1,11,17,275,648,224,618,1969,1111,25.7
food,food_005.jpg,0,31,35,663,518,592,453,672,647,61.9
food,food_006.jpg,1,26,49,851,979,731,865,1860,1469,12.9
food,food_007.jpg,1,69,82,1347,1247,1278,1170,1385,1154,26.2
food,food_008.jpg,0,44,55,593,608,547,541,346,429,50.7
food,food_009.jpg,1,51,63,954,834,891,757,1703,1426,31.5
food,food_010.jpg,0,13,17,643,587,574,506,592,629,66.6
food,food_011.jpg,1,43,61,1057,1022,991,986,2177,1478,25.4
food,food_012.jpg,1,44,56,987,1035,880,937,2084,1530,15.8
food,food_013.jpg,1,34,47,1021,1050,933,976,1882,1720,27.3
food,food_014.jpg,1,43,45,1011,926,916,812,1535,1441,33.6
food,food_015.jpg,0,32,34,457,465,415,388,1106,483,37.2
food,food_016.jpg,0,73,71,1395,1141,1355,1106,1038,1004,54.0
food,food_017.jpg,0,38,38,805,807,676,701,989,909,58.4
food,food_018.jpg,0,15,27,195,275,141,214,138,154,59.1
food,food_019.jpg,0,34,42,670,727,602,625,1308,1094,48.7
food,food_020.jpg,0,36,48,1034,968,1018,952,1394,1439,50.4
